id	name
10067	Microsoft Live Communications Server 2005 Service Pack 
10067	Microsoft Live Communications Server 2005 Service Pack 1
10290	Microsoft Live Meeting 2007 Console
10069	Microsoft Lync 2010 (32-bit)
10303	Microsoft Lync 2010 (64-bit)
10303	Microsoft Lync 2010 (64-bit) 
10267	Microsoft Lync 2010 Attendant (32-bit)
10294	Microsoft Lync 2010 Attendant (64-bit)
10268	Microsoft Lync 2010 Attendee (admin level install)
10295	Microsoft Lync 2010 Attendee (user level install)
10269	Microsoft Lync 2010 Group Chat
10425	Microsoft Lync 2013 (32-bit)
10426	Microsoft Lync 2013 (64-bit)
10628	Microsoft Lync 2013 Service Pack 1 (32-bit)
10630	Microsoft Lync 2013 Service Pack 1 (64-bit)
10470	Microsoft Lync Basic 2013 (32-bit editions)
10470	Microsoft Lync Basic 2013 (32-bit)
10471	Microsoft Lync Basic 2013 (64-bit editions)
10471	Microsoft Lync Basic 2013 (64-bit)
10629	Microsoft Lync Basic 2013 Service Pack 1 (32-bit editions)
10631	Microsoft Lync Basic 2013 Service Pack 1 (64-bit editions)
10139	Microsoft Lync for Mac 2011
10066	Microsoft Lync Server 2010
10070	Microsoft Lync Server 2010 Group Chat Software Development Kit
10071	Microsoft Lync Server 2010 Software Development Kit
10428	Microsoft Lync Server 2013
10269	Microsoft Lync Web Access 2013
10444	Microsoft Lync Web Access 2013 
3283	Microsoft Office 2003 Service Pack 3
9340	Microsoft Office 2003 Web Components Service Pack 3
4862	Microsoft Office 2007 Service Pack 2
10150	Microsoft Office 2007 Service Pack 3
10150	Microsoft Office 2007 Service Pack 3 with Microsoft Office 2007 IME (Japanese)
6918	Microsoft Office 2008 for Mac
9424	Microsoft Office 2010 (32-bit editions)
9425	Microsoft Office 2010 (64-bit editions)
10126	Microsoft Office 2010 Service Pack 1 (32-bit editions)
10126	Microsoft Office 2010 Service Pack 1 (32-bit editions) 
10127	Microsoft Office 2010 Service Pack 1 (64-bit editions)
10127	Microsoft Office 2010 Service Pack 1 (64-bit editions) 
10521	Microsoft Office 2010 Service Pack 2 (32-bit editions)
10522	Microsoft Office 2010 Service Pack 2 (64-bit editions)
10522	Microsoft Office 2010 Service Pack 2 (64-bit editions) 
